job_n,default_n,poutcome_n,duration,campaign,euribor3m,y_n
3.0,1.0,0.0,94.0,2.0,4.96,0
2.0,0.0,0.0,116.0,4.0,1.244,0
5.0,0.0,1.0,13.0,6.0,1.354,0
0.0,0.0,0.0,94.0,5.0,4.961,0
2.0,1.0,0.0,344.0,2.0,4.86,0
6.0,0.0,0.0,727.0,2.0,1.405,0
2.0,0.0,0.0,115.0,3.0,1.354,0
3.0,1.0,0.0,201.0,2.0,4.857,0
3.0,0.0,0.0,93.0,2.0,4.857,0
4.0,0.0,0.0,174.0,7.0,4.962,0
0.0,0.0,1.0,253.0,1.0,4.153,0
10.0,1.0,0.0,217.0,1.0,4.076,0
3.0,0.0,0.0,233.0,1.0,4.864,0
2.0,0.0,0.0,121.0,1.0,4.859,0
3.0,0.0,0.0,292.0,8.0,4.963,0
2.0,0.0,0.0,91.0,1.0,1.262,0
6.0,0.0,1.0,148.0,1.0,0.654,1
6.0,0.0,1.0,143.0,1.0,4.12,0
6.0,0.0,0.0,130.0,1.0,4.962,0
0.0,0.0,0.0,41.0,1.0,1.365,0
1.0,0.0,0.0,180.0,2.0,4.856,0
3.0,1.0,1.0,134.0,1.0,1.281,0
4.0,0.0,0.0,569.0,2.0,1.252,0
3.0,1.0,0.0,398.0,2.0,4.959,0
11.0,1.0,0.0,98.0,1.0,1.405,0
2.0,0.0,1.0,262.0,2.0,1.299,0
1.0,0.0,1.0,551.0,1.0,1.327,0
7.0,0.0,0.0,597.0,3.0,4.857,0
4.0,0.0,0.0,81.0,2.0,1.313,0
4.0,0.0,0.0,19.0,11.0,1.281,0
6.0,0.0,0.0,339.0,1.0,4.153,0
4.0,0.0,0.0,104.0,1.0,1.266,0
1.0,0.0,1.0,62.0,1.0,4.021,0
0.0,0.0,0.0,139.0,6.0,0.638,1
6.0,0.0,0.0,838.0,3.0,4.961,1
2.0,0.0,0.0,84.0,13.0,4.963,0
3.0,0.0,0.0,210.0,1.0,1.405,0
2.0,0.0,0.0,567.0,1.0,4.021,0
1.0,0.0,1.0,403.0,1.0,1.334,0
4.0,0.0,0.0,500.0,1.0,4.855,0
2.0,0.0,0.0,70.0,3.0,4.967,0
0.0,0.0,0.0,130.0,4.0,4.859,0
4.0,0.0,1.0,296.0,1.0,0.716,1
6.0,0.0,0.0,199.0,1.0,4.96,0
2.0,0.0,2.0,296.0,1.0,4.153,0
2.0,0.0,0.0,446.0,8.0,0.714,0
4.0,0.0,0.0,113.0,2.0,4.964,0
1.0,0.0,0.0,262.0,4.0,4.86,0
1.0,0.0,0.0,548.0,8.0,4.865,0
5.0,0.0,0.0,314.0,1.0,0.881,1
2.0,0.0,1.0,96.0,1.0,0.849,0
2.0,0.0,0.0,87.0,3.0,4.153,0
4.0,0.0,0.0,348.0,3.0,4.076,0
0.0,1.0,0.0,93.0,1.0,4.964,0
8.0,0.0,0.0,108.0,2.0,4.858,0
11.0,0.0,2.0,210.0,1.0,0.742,1
1.0,0.0,0.0,201.0,3.0,1.299,0
8.0,0.0,1.0,60.0,1.0,4.191,0
1.0,0.0,0.0,160.0,3.0,4.964,0
6.0,0.0,0.0,685.0,2.0,1.313,1
4.0,0.0,0.0,74.0,1.0,4.963,0
5.0,1.0,0.0,217.0,2.0,4.86,0
1.0,0.0,0.0,227.0,2.0,1.327,0
3.0,1.0,0.0,324.0,1.0,4.961,0
1.0,0.0,0.0,274.0,2.0,4.961,0
3.0,1.0,0.0,72.0,3.0,4.967,0
1.0,0.0,0.0,344.0,1.0,1.291,0
0.0,1.0,2.0,167.0,1.0,0.642,1
4.0,0.0,1.0,107.0,2.0,0.881,0
5.0,1.0,1.0,158.0,3.0,4.021,0
0.0,0.0,0.0,402.0,1.0,4.962,0
2.0,0.0,0.0,89.0,1.0,4.021,0
2.0,0.0,0.0,26.0,10.0,4.021,0
6.0,0.0,0.0,1007.0,1.0,4.855,0
3.0,1.0,0.0,184.0,2.0,4.86,0
4.0,0.0,0.0,244.0,5.0,4.855,0
4.0,0.0,1.0,220.0,3.0,0.827,1
8.0,0.0,0.0,129.0,3.0,4.959,0
2.0,0.0,0.0,193.0,6.0,4.86,0
4.0,0.0,0.0,613.0,1.0,4.153,0
6.0,0.0,1.0,986.0,1.0,0.714,0
3.0,0.0,1.0,434.0,3.0,1.327,0
3.0,1.0,0.0,747.0,1.0,4.962,0
2.0,0.0,0.0,45.0,1.0,4.245,0
1.0,0.0,1.0,154.0,2.0,1.281,0
7.0,0.0,0.0,349.0,1.0,4.856,0
3.0,0.0,0.0,41.0,9.0,4.96,0
4.0,1.0,0.0,291.0,2.0,4.12,0
4.0,1.0,0.0,491.0,1.0,4.961,0
5.0,0.0,0.0,138.0,4.0,0.965,0
2.0,0.0,1.0,123.0,1.0,4.153,0
2.0,0.0,1.0,74.0,3.0,1.299,0
2.0,0.0,1.0,104.0,1.0,4.191,0
0.0,1.0,0.0,86.0,1.0,4.857,0
4.0,0.0,0.0,270.0,3.0,4.964,0
10.0,1.0,0.0,14.0,20.0,4.968,0
2.0,0.0,0.0,152.0,6.0,4.963,0
3.0,0.0,0.0,951.0,2.0,4.858,0
5.0,1.0,0.0,137.0,3.0,4.864,0
8.0,1.0,0.0,172.0,3.0,4.957,0
6.0,0.0,0.0,254.0,1.0,4.856,0
2.0,0.0,0.0,134.0,1.0,4.86,0
2.0,0.0,0.0,399.0,1.0,1.41,0
3.0,1.0,0.0,169.0,2.0,1.281,0
4.0,0.0,0.0,14.0,8.0,1.266,0
1.0,0.0,0.0,51.0,2.0,4.96,0
3.0,0.0,0.0,93.0,3.0,1.266,0
3.0,1.0,1.0,951.0,3.0,1.281,1
1.0,0.0,1.0,227.0,1.0,1.25,0
6.0,1.0,0.0,587.0,1.0,4.86,0
4.0,0.0,0.0,554.0,2.0,4.96,0
4.0,0.0,0.0,418.0,2.0,4.856,0
3.0,0.0,1.0,809.0,1.0,1.281,1
2.0,1.0,0.0,64.0,1.0,4.963,0
4.0,0.0,0.0,114.0,5.0,1.291,0
4.0,0.0,0.0,237.0,7.0,4.968,0
2.0,0.0,0.0,176.0,2.0,4.966,0
2.0,1.0,0.0,177.0,3.0,4.961,0
4.0,0.0,0.0,244.0,1.0,4.021,0
3.0,1.0,0.0,67.0,1.0,4.957,0
6.0,0.0,0.0,83.0,4.0,1.26,0
4.0,0.0,0.0,128.0,1.0,4.968,0
1.0,0.0,0.0,379.0,2.0,1.405,0
0.0,0.0,0.0,553.0,3.0,4.864,1
1.0,0.0,0.0,120.0,3.0,4.864,0
4.0,0.0,0.0,118.0,1.0,0.715,0
7.0,0.0,1.0,250.0,1.0,4.076,0
0.0,1.0,0.0,136.0,3.0,4.855,0
3.0,1.0,0.0,165.0,1.0,4.967,0
1.0,0.0,0.0,155.0,4.0,1.405,0
0.0,0.0,0.0,653.0,1.0,4.076,1
1.0,0.0,0.0,150.0,7.0,4.857,0
7.0,0.0,0.0,266.0,3.0,4.963,0
7.0,0.0,2.0,93.0,1.0,0.879,0
4.0,0.0,0.0,50.0,2.0,4.963,0
4.0,0.0,0.0,116.0,1.0,1.405,0
4.0,0.0,0.0,1480.0,3.0,4.021,1
4.0,0.0,0.0,157.0,5.0,1.291,0
4.0,0.0,0.0,250.0,1.0,4.967,0
4.0,0.0,0.0,307.0,4.0,4.857,0
3.0,1.0,0.0,489.0,2.0,4.856,0
